Category,Resume
Data Science,"Python machine learning pandas numpy scikit-learn tensorflow deep learning data analysis statistics"
Data Science,"Data visualization matplotlib seaborn SQL predictive modeling artificial intelligence"
Web Developer,"HTML CSS JavaScript React Node.js Express MongoDB responsive design"
Web Developer,"Frontend development Bootstrap Tailwind CSS REST API Git GitHub"
Java Developer,"Java Spring Boot Hibernate MySQL JDBC Maven RESTful services"
Java Developer,"Core Java OOP multithreading collections exception handling microservices"
Android Developer,"Java Kotlin Android Studio Firebase XML RecyclerView Retrofit"
Android Developer,"Mobile application development SQLite Room database material design"
DevOps Engineer,"Docker Kubernetes Jenkins AWS CI/CD Linux shell scripting"
DevOps Engineer,"Terraform Ansible cloud computing monitoring Prometheus Grafana"
Cyber Security,"Ethical hacking penetration testing network security Kali Linux Wireshark"
Cyber Security,"Vulnerability assessment OWASP cryptography firewalls incident response"
UI UX Designer,"Figma Adobe XD wireframing prototyping user research usability testing"
UI UX Designer,"Design systems typography color theory interaction design"

Data Science,"python machine learning pandas numpy scikit-learn data analysis statistics visualization matplotlib seaborn"
Data Science,"data science regression classification clustering tensorflow keras deep learning neural networks"
Data Science,"sql python data cleaning feature engineering model building predictive analytics"
Data Science,"machine learning model training dataset preprocessing pandas numpy sklearn"
Data Science,"deep learning cnn rnn nlp artificial intelligence ai data science projects"
Data Science,"statistics probability data mining big data analysis python numpy pandas"

Web Developer,"html css javascript react node express mongodb frontend backend web development"
Web Developer,"bootstrap tailwind css responsive design ui ux javascript dom manipulation"
Web Developer,"react js redux hooks api integration frontend developer projects"
Web Developer,"full stack development mern stack node js express react mongodb"
Web Developer,"website design html5 css3 javascript jquery responsive web design"
Web Developer,"rest api ajax json frontend backend integration web applications"

Java Developer,"java spring boot hibernate jdbc mysql microservices backend development"
Java Developer,"core java oop collections multithreading exception handling java projects"
Java Developer,"spring framework rest api maven gradle microservices architecture"
Java Developer,"java servlet jsp jdbc database connectivity backend system development"
Java Developer,"enterprise java applications spring security hibernate orm"

Android Developer,"android studio java kotlin firebase mobile app development xml ui"
Android Developer,"android app development recycler view retrofit api integration"
Android Developer,"kotlin coroutines android architecture mvvm mobile apps"
Android Developer,"firebase authentication database android applications development"
Android Developer,"mobile development android sdk ui design activity fragment lifecycle"

DevOps Engineer,"docker kubernetes aws ci cd jenkins linux deployment automation"
DevOps Engineer,"terraform ansible cloud infrastructure monitoring devops tools"
DevOps Engineer,"git github docker containerization kubernetes orchestration"
DevOps Engineer,"aws ec2 s3 lambda cloud computing devops pipeline"
DevOps Engineer,"jenkins automation build pipeline continuous integration deployment"

Cyber Security,"ethical hacking penetration testing kali linux wireshark security analysis"
Cyber Security,"network security cryptography firewall vulnerability assessment"
Cyber Security,"cybersecurity incident response malware analysis threat detection"
Cyber Security,"security auditing risk management owasp web application security"
Cyber Security,"penetration testing network scanning security tools nmap metasploit"

UI UX Designer,"figma adobe xd wireframing prototyping user research design systems"
UI UX Designer,"ui ux design typography color theory interaction design usability testing"
UI UX Designer,"graphic design photoshop illustrator user experience design"
UI UX Designer,"mobile ui design web design user interface prototyping figma tools"
UI UX Designer,"design thinking user centered design mockups wireframes usability"